iter	Passed	Remaining
697	14515	6280
698	14533	6258
699	14551	6236
700	14572	6215
701	14589	6193
702	14606	6170
703	14629	6151
704	14651	6130
705	14670	6109
706	14691	6088
707	14714	6068
708	14735	6048
709	14756	6027
710	14776	6006
711	14796	5985
712	14818	5964
713	14834	5942
714	14855	5921
715	14877	5901
716	14899	5880
717	14920	5860
718	14942	5839
719	14965	5819
720	14987	5799
721	15010	5779
722	15029	5758
723	15051	5737
724	15072	5716
725	15092	5696
726	15114	5675
727	15136	5655
728	15157	5634
729	15179	5614
730	15202	5594
731	15219	5572
732	15241	5551
733	15268	5533
734	15289	5512
735	15309	5491
736	15333	5471
737	15355	5451
738	15379	5431
739	15402	5411
740	15422	5390
741	15439	5368
742	15456	5346
743	15477	5325
744	15498	5304
745	15522	5285
746	15545	5265
747	15565	5244
748	15584	5222
749	15603	5201
750	15628	5181
751	15650	5161
752	15671	5140
753	15694	5120
754	15716	5100
755	15739	5079
756	15758	5058
757	15779	5037
758	15800	5017
759	15823	4997
760	15846	4976
761	15867	4955
762	15887	4934
763	15905	4913
764	15926	4892
765	15947	4871
766	15968	4851
767	15989	4830
768	16011	4809
769	16031	4788
770	16051	4767
771	16074	4747
772	16096	4727
773	16118	4706
774	16141	4686
775	16164	4665
776	16183	4644
777	16204	4623
778	16227	4603
779	16249	4583
780	16272	4562
781	16295	4542
782	16316	4521
783	16338	4501
784	16356	4479
785	16377	4459
786	16397	4438
787	16421	4417
788	16441	4397
789	16464	4376
790	16487	4356
791	16509	4335
792	16529	4314
793	16550	4293
794	16569	4272
795	16591	4251
796	16614	4231
797	16635	4211
798	16656	4190
799	16680	4170
800	16702	4149
801	16724	4129
802	16745	4108
803	16767	4087
804	16786	4066
805	16807	4045
806	16828	4024
807	16850	4004
808	16869	3982
809	16886	3961
810	16910	3940
811	16932	3920
812	16954	3899
813	16976	3879
814	16998	3858
815	17020	3838
816	17041	3817
817	17062	3796
818	17084	3775
819	17120	3758
820	17167	3742
821	17189	3722
822	17211	3701
823	17235	3681
824	17257	3660
825	17276	3639
826	17298	3618
827	17319	3597
828	17339	3576
829	17363	3556
830	17386	3535
831	17408	3515
832	17427	3493
833	17448	3472
834	17471	3452
835	17494	3431
836	17516	3411
837	17533	3389
838	17555	3368
839	17576	3347
840	17598	3327
841	17618	3306
842	17642	3285
843	17660	3264
844	17681	3243
845	17700	3222
846	17721	3201
847	17746	3181
848	17770	3160
849	17791	3139
850	17810	3118
851	17831	3097
852	17855	3077
853	17877	3056
854	17898	3035
855	17921	3014
856	17942	2993
857	17964	2973
858	17987	2952
859	18007	2931
860	18026	2910
861	18048	2889
862	18071	2868
863	18092	2847
864	18114	2827
865	18135	2806
866	18156	2785
867	18179	2764
868	18201	2743
869	18222	2722
870	18243	2701
871	18265	2681
872	18287	2660
873	18309	2639
874	18330	2618
875	18351	2597
876	18373	2576
877	18395	2556
878	18416	2535
879	18438	2514
880	18462	2493
881	18484	2472
882	18512	2452
883	18534	2432
884	18557	2411
885	18578	2390
886	18601	2369
887	18627	2349
888	18648	2328
889	18668	2307
890	18691	2286
891	18713	2265
892	18734	2244
893	18755	2223
894	18774	2202
895	18796	2181
896	18816	2160
897	18834	2139
898	18855	2118
899	18878	2097
900	18897	2076
901	18920	2055
902	18942	2034
903	18964	2013
904	18987	1993
905	19010	1972
906	19031	1951
907	19051	1930
908	19073	1909
909	19097	1888
910	19119	1867
911	19140	1846
912	19162	1826
913	19184	1805
914	19217	1785
915	19240	1764
916	19263	1743
917	19286	1722
918	19308	1701
919	19331	1680
920	19352	1659
921	19373	1638
922	19395	1618
923	19417	1597
924	19440	1576
925	19462	1555
926	19483	1534
927	19504	1513
928	19527	1492
929	19548	1471
930	19570	1450
931	19591	1429
932	19613	1408
933	19635	1387
934	19658	1366
935	19678	1345
936	19699	1324
937	19722	1303
938	19744	1282
939	19767	1261
940	19786	1240
941	19809	1219
942	19831	1198
943	19850	1177
944	19872	1156
945	19893	1135
946	19912	1114
947	19933	1093
948	19954	1072
949	19978	1051
950	19998	1030
951	20018	1009
952	20036	988
953	20059	967
954	20080	946
955	20100	925
956	20121	904
957	20142	883
958	20165	862
959	20187	841
960	20210	820
961	20231	799
962	20254	778
963	20276	757
964	20297	736
965	20318	715
966	20339	694
967	20361	673
968	20383	652
969	20434	631
970	20456	610
971	20478	589
972	20499	568
973	20520	547
974	20542	526
975	20565	505
976	20587	484
977	20608	463
978	20630	442
979	20650	421
980	20670	400
981	20691	379
982	20713	358
983	20734	337
984	20756	316
985	20777	295
986	20799	273
987	20821	252
988	20842	231
989	20865	210
990	20886	189
991	20908	168
992	20931	147
993	20947	126
994	20967	105
995	20988	84
996	21011	63
997	21032	42
998	21054	21
999	21075	0
